id,d_elect,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_group,del_group,mode_group,mean_period,del_period,mode_period,mean_val,del_val,mode_val,mean_electroneg,del_electroneg,mode_electroneg,entropy,cell_area,n_metal,mag_state
CoCl2-cb7655063dfe,7,20.333,4.444,17,0.745,0.693,14.333,7.111,17,3.333,0.444,3,7.667,0.889,7,2.733,0.569,3.16,0.637,10.83555,1,1
TiI2-d49f2853b897,2,42.667,13.778,53,0.745,0.693,12.667,11.556,17,4.667,0.444,5,6,1.333,7,2.287,0.498,2.66,0.637,14.4399,1,1
CrI2-524181a3ac86,5,43.333,12.889,53,0.745,0.693,13.333,9.778,17,4.667,0.444,5,6.667,0.444,7,2.327,0.444,2.66,0.637,13.65696,1,1
ScCl2-945f3bbaeedc,1,18.333,1.778,17,0.745,0.693,12.333,12.444,17,3.333,0.444,3,5.667,1.778,7,2.56,0.8,3.16,0.637,10.71918,1,1
YBr2-32aac6e20434,1,36.333,1.778,35,0.745,0.693,12.333,12.444,17,4.333,0.444,4,5.667,1.778,7,2.38,0.773,2.96,0.637,12.94694,1,1
Ag2Br6-751bf21cd722,10,38,4.5,35,0.791,0.759,15.5,4.5,17,4.25,0.375,4,8,1.5,7,2.702,0.386,2.96,0.562,40.24112,2,1
Hf2Cl6-55df638549b1,2,30.75,20.625,17,0.791,0.759,13.75,9.75,17,3.75,1.125,3,6.25,1.125,7,2.695,0.698,3.16,0.562,32.92438,2,1
Mn2Br6-6f33dda6bf52,5,32.5,3.75,35,0.791,0.759,14.5,7.5,17,4,0,4,7,0,7,2.607,0.529,2.96,0.562,37.51795,2,1
Ni2Br6-981a39e4f968,8,33.25,2.625,35,0.791,0.759,15.25,5.25,17,4,0,4,7.75,1.125,7,2.697,0.394,2.96,0.562,34.73946,2,1
Pt2I6-262ec9b49ee4,9,59.25,9.375,53,0.791,0.759,15.25,5.25,17,5.25,0.375,5,7.75,1.125,7,2.565,0.143,2.66,0.562,44.06793,2,1
Zr2Br6-7f49d473708d,2,36.25,1.875,35,0.791,0.759,13.75,9.75,17,4.25,0.375,4,6.25,1.125,7,2.552,0.611,2.96,0.562,37.56141,2,1
Co2Br6-26f91951e231,7,33,3,35,0.791,0.759,15,6,17,4,0,4,7.5,0.75,7,2.69,0.405,2.96,0.562,39.42879,2,1
Mn2Br6-16e41bb393dd,5,32.5,3.75,35,0.791,0.759,14.5,7.5,17,4,0,4,7,0,7,2.607,0.529,2.96,0.562,41.68857,2,1
Nb2I6-cf9f47bac93f,4,50,4.5,53,0.791,0.759,14,9,17,5,0,5,6.5,0.75,7,2.395,0.398,2.66,0.562,39.90508,2,1
Ta2Br6-6d92dec6a7a6,3,44.5,14.25,35,0.791,0.759,14,9,17,4.5,0.75,4,6.5,0.75,7,2.595,0.548,2.96,0.562,32.53004,2,1
ClIV-b03bee311f9c,3,31,14.667,31,0.577,0.481,13,10.667,13,4,0.667,4,6.333,0.889,6.333,2.483,0.569,2.483,1.099,10.85122,1,1
Cr2S4-1ec9f017f2be,5,18.667,3.556,16,0.745,0.693,12.667,8.889,16,3.333,0.444,3,6,0,6,2.273,0.409,2.58,0.637,34.27149,2,1
V2Se4-5760463dd51d,3,30.333,4.889,34,0.745,0.693,12.333,9.778,16,4,0,4,5.667,0.444,6,2.243,0.409,2.55,0.637,40.04434,2,1
Co4Se8-c0a4830ea73d,7,31.667,3.111,34,0.745,0.693,13.667,6.222,16,4,0,4,7,1.333,6,2.327,0.298,2.55,0.637,39.22109,4,1
CoO2-d0f974240910,7,14.333,8.444,8,0.745,0.693,13.667,6.222,16,2.667,0.889,2,7,1.333,6,2.92,0.693,3.44,0.637,6.44904,1,1
CrSe2-5b4a37f6d47c,5,30.667,4.444,34,0.745,0.693,12.667,8.889,16,4,0,4,6,0,6,2.253,0.396,2.55,0.637,9.01756,1,1
MnSe2-26f87ca48216,5,31,4,34,0.745,0.693,13,8,16,4,0,4,6.333,0.444,6,2.217,0.444,2.55,0.637,9.16967,1,1
NbO2-5f301fca16ab,4,19,14.667,8,0.745,0.693,12.333,9.778,16,3,1.333,2,5.667,0.444,6,2.827,0.818,3.44,0.637,7.62581,1,1
RhO2-9eef7b4ded96,8,20.333,16.444,8,0.745,0.693,13.667,6.222,16,3,1.333,2,7,1.333,6,3.053,0.516,3.44,0.637,7.55057,1,1
RuSe2-b815f285ca77,7,37.333,4.444,34,0.745,0.693,13.333,7.111,16,4.333,0.444,4,6.667,0.889,6,2.433,0.156,2.55,0.637,10.46433,1,1
VTe2-45a0c1470922,3,42.333,12.889,52,0.745,0.693,12.333,9.778,16,4.667,0.444,5,5.667,0.444,6,1.943,0.209,2.1,0.637,11.21346,1,1
Br2Cr2Se2-6d18e7a36c5a,5,31,4.667,31,0.577,0.481,13,9.333,13,4,0,4,6.333,0.444,6.333,2.39,0.487,2.39,1.099,18.2824,2,1
Cr2I2O2-30c4e34d1e6e,5,28.333,16.444,28.333,0.577,0.481,13,9.333,13,3.667,1.111,3.667,6.333,0.444,6.333,2.587,0.618,2.587,1.099,13.61804,2,1
Br2Fe2S2-b6b553c6a41c,6,25.667,6.444,25.667,0.577,0.481,13.667,7.556,13.667,3.667,0.444,3.667,7,0.667,7,2.457,0.418,2.457,1.099,15.20626,2,1
Cl2Mn2O2-37cd5cb7c82e,5,16.667,5.778,16.667,0.577,0.481,13.333,8.444,13.333,3,0.667,3,6.667,0.444,6.667,2.717,0.778,2.717,1.099,12.73401,2,1
I2Mn2Se2-9fd5b951f464,5,37.333,10.444,37.333,0.577,0.481,13.333,8.444,13.333,4.333,0.444,4.333,6.667,0.444,6.667,2.253,0.469,2.253,1.099,19.58909,2,1
I2Mo2N2-cbe708b72588,5,34,18,34,0.577,0.481,12.667,8.889,12.667,4,1.333,4,6,0.667,6,2.62,0.307,2.62,1.099,14.3601,2,1
Cl2Se2V2-b9824981c343,3,24.667,6.222,24.667,0.577,0.481,12.667,10.222,12.667,3.667,0.444,3.667,6,0.667,6,2.447,0.544,2.447,1.099,17.46297,2,1
Mn2Se2-540ca734cb6e,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,14.30727,2,1
Cr2O6-0f7f0626688d,5,12,6,8,0.791,0.759,13.5,7.5,16,2.5,0.75,2,6,0,6,2.995,0.667,3.44,0.562,13.12353,2,1
Mn2Te6-161b37c77fc8,5,45.25,10.125,52,0.791,0.759,13.75,6.75,16,4.75,0.375,5,6.25,0.375,6,1.963,0.206,2.1,0.562,22.45111,2,1
Cu2Br4-1d725b7aa76b,10,33,2.667,35,0.745,0.693,15,5.333,17,4,0,4,8.333,1.778,7,2.607,0.471,2.96,0.637,24.20232,2,1
Mn2Te4-3a8803833099,5,43,12,52,0.745,0.693,13,8,16,4.667,0.444,5,6.333,0.444,6,1.917,0.244,2.1,0.637,23.13147,2,1
Cl4Hf4S4-7216790e4eaf,2,35,24.667,35,0.577,0.481,12.333,11.111,12.333,4,1.333,4,5.667,1.111,5.667,2.347,0.698,2.347,1.099,42.21682,4,1
Cd2Te2-3a9e0525e324,10,50,2,50,0.707,0.63,14,4,14,5,0,5,4,2,4,1.895,0.205,1.895,0.693,18.88528,2,-1
Cl4Se4Zr4-9cab003b77d2,2,30.333,8.889,30.333,0.577,0.481,12.333,11.111,12.333,4,0.667,4,5.667,1.111,5.667,2.347,0.678,2.347,1.099,44.7403,4,1
Cr2S2-c4601991e8da,5,20,4,20,0.707,0.63,11,10,11,3.5,0.5,3.5,6,0,6,2.12,0.46,2.12,0.693,13.0535,2,1
Mn2Te2-070ecae01ad4,5,38.5,13.5,38.5,0.707,0.63,11.5,9,11.5,4.5,0.5,4.5,6.5,0.5,6.5,1.825,0.275,1.825,0.693,14.43916,2,1
Ni2S2-45c8c6156f9b,8,22,6,22,0.707,0.63,13,6,13,3.5,0.5,3.5,8,2,8,2.245,0.335,2.245,0.693,12.52018,2,1
Te2V2-c97aabd66234,3,37.5,14.5,37.5,0.707,0.63,10.5,11,10.5,4.5,0.5,4.5,5.5,0.5,5.5,1.865,0.235,1.865,0.693,13.35073,2,1
ClITi-e63dbdea0d67,2,30.667,14.889,30.667,0.577,0.481,12.667,11.556,12.667,4,0.667,4,6,1.333,6,2.453,0.609,2.453,1.099,12.74486,1,1
Co2Se2-d3261144e906,7,30.5,3.5,30.5,0.707,0.63,12.5,7,12.5,4,0,4,7.5,1.5,7.5,2.215,0.335,2.215,0.693,13.29259,2,1
Cr2O2-a424e065cefb,5,16,8,16,0.707,0.63,11,10,11,3,1,3,6,0,6,2.55,0.89,2.55,0.693,10.35907,2,1
Fe2Se2-4f9fa57b280a,6,30,4,30,0.707,0.63,12,8,12,4,0,4,7,1,7,2.19,0.36,2.19,0.693,13.81253,2,1
Mn2Se2-e271acd45e31,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,16.2655,2,1
CoCl2-2f828537d676,7,20.333,4.444,17,0.745,0.693,14.333,7.111,17,3.333,0.444,3,7.667,0.889,7,2.733,0.569,3.16,0.637,13.55845,1,1
CrS2-11366ce0d161,5,18.667,3.556,16,0.745,0.693,12.667,8.889,16,3.333,0.444,3,6,0,6,2.273,0.409,2.58,0.637,12.87482,1,1
ScCl2-0dce14695b38,1,18.333,1.778,17,0.745,0.693,12.333,12.444,17,3.333,0.444,3,5.667,1.778,7,2.56,0.8,3.16,0.637,13.401,1,1
TiI2-57e926e3ae55,2,42.667,13.778,53,0.745,0.693,12.667,11.556,17,4.667,0.444,5,6,1.333,7,2.287,0.498,2.66,0.637,16.34102,1,1
VBr2-5ce5bfec6b24,3,31,5.333,35,0.745,0.693,13,10.667,17,4,0,4,6.333,0.889,7,2.517,0.591,2.96,0.637,14.35542,1,1
ZrI2-2e090562de2e,2,48.667,5.778,53,0.745,0.693,12.667,11.556,17,5,0,5,6,1.333,7,2.217,0.591,2.66,0.637,15.12397,1,1
CF2Mn2-3d38c1abf21b,5,14.8,8.16,25,0.6,0.514,12.4,8.64,7,2.8,0.96,4,6.4,0.96,7,2.722,1.006,1.55,1.055,7.60891,2,1
NTi2-4bd1171c65a9,2,17,6.667,22,0.745,0.693,7.667,9.778,4,3.333,0.889,4,4.333,0.444,4,2.04,0.667,1.54,0.637,7.69167,2,1
N2Sc3-acf544e5d415,1,15.4,6.72,21,0.721,0.654,7.8,11.52,3,3.2,0.96,4,3.8,0.96,3,2.032,0.806,1.36,0.673,8.97059,3,1
F2N2Ti3-2d40c3057b98,2,14,6.857,22,0.589,0.5,10.857,11.755,4,2.857,0.98,4,5.143,1.061,4,2.666,0.965,1.54,1.079,7.70543,3,1
N3Mn4-0bb15dc7977c,5,17.286,8.816,25,0.714,0.643,10.429,7.837,7,3.143,0.98,4,6.143,0.98,7,2.189,0.73,1.55,0.683,7.08122,4,1
N3Sc4-daf440ed0646,1,15,6.857,21,0.714,0.643,8.143,11.755,3,3.143,0.98,4,3.857,0.98,3,2.08,0.823,1.36,0.683,8.92657,4,1
P2Ti2Te6-61838e16f91d,2,38.6,16.08,52,0.663,0.614,13.4,7.52,16,4.4,0.72,5,5.4,0.72,6,2.006,0.186,2.1,0.95,41.11141,2,1
AlBr2-9521d0714c9f,0,27.667,9.778,35,0.745,0.693,15.667,3.556,17,3.667,0.444,4,5.667,1.778,7,2.51,0.6,2.96,0.637,13.71281,1,1
CoI2-614854de7677,7,44.333,11.556,53,0.745,0.693,14.333,7.111,17,4.667,0.444,5,7.667,0.889,7,2.4,0.347,2.66,0.637,13.06936,1,1
PdCl2-6606a7816335,10,26.667,12.889,17,0.745,0.693,14.667,6.222,17,3.667,0.889,3,8,1.333,7,2.84,0.427,3.16,0.637,10.90874,1,1
ScI2-d71a8b9a636e,1,42.333,14.222,53,0.745,0.693,12.333,12.444,17,4.667,0.444,5,5.667,1.778,7,2.227,0.578,2.66,0.637,13.70953,1,1
YCl2-097c5f54659a,1,24.333,9.778,17,0.745,0.693,12.333,12.444,17,3.667,0.889,3,5.667,1.778,7,2.513,0.862,3.16,0.637,12.04836,1,1
Bi2I2-c3fa8fd438b6,10,68,15,68,0.707,0.63,16,2,16,5.5,0.5,5.5,6,1,6,2.34,0.32,2.34,0.693,26.0291,2,-1
Ni2S2-6433c7730d48,8,22,6,22,0.707,0.63,13,6,13,3.5,0.5,3.5,8,2,8,2.245,0.335,2.245,0.693,11.30383,2,-1
F2Pb2-80918d6f39e4,10,45.5,36.5,45.5,0.707,0.63,15.5,3,15.5,4,2,4,5.5,1.5,5.5,2.925,1.055,2.925,0.693,12.87536,2,-1
Ni2Br6-8967959b58fc,8,33.25,2.625,35,0.791,0.759,15.25,5.25,17,4,0,4,7.75,1.125,7,2.697,0.394,2.96,0.562,39.56053,2,1
V2Br6-992373a7e1ea,3,32,4.5,35,0.791,0.759,14,9,17,4,0,4,6.5,0.75,7,2.627,0.499,2.96,0.562,41.39266,2,1
Zr2Br6-e33da2247ac2,2,36.25,1.875,35,0.791,0.759,13.75,9.75,17,4.25,0.375,4,6.25,1.125,7,2.552,0.611,2.96,0.562,37.41464,2,1
SeTeV-716e51e45afe,3,36.333,10.444,36.333,0.577,0.481,12.333,9.778,12.333,4.333,0.444,4.333,5.667,0.444,5.667,2.093,0.309,2.093,1.099,10.44426,1,1
Cr2Se4-65173aff305c,5,30.667,4.444,34,0.745,0.693,12.667,8.889,16,4,0,4,6,0,6,2.253,0.396,2.55,0.637,38.74985,2,1
Mn2Se4-540fb05996f0,5,31,4,34,0.745,0.693,13,8,16,4,0,4,6.333,0.444,6,2.217,0.444,2.55,0.637,37.51509,2,1
CrTe2-3fb486362f1a,5,42.667,12.444,52,0.745,0.693,12.667,8.889,16,4.667,0.444,5,6,0,6,1.953,0.196,2.1,0.637,11.78473,1,1
FeO2-28c98c935df2,6,14,8,8,0.745,0.693,13.333,7.111,16,2.667,0.889,2,6.667,0.889,6,2.903,0.716,3.44,0.637,6.27558,1,1
NbS2-4df7629f04e6,4,24.333,11.111,16,0.745,0.693,12.333,9.778,16,3.667,0.889,3,5.667,0.444,6,2.253,0.436,2.58,0.637,9.69607,1,1
VO2-d6e75c5ce82e,3,13,6.667,8,0.745,0.693,12.333,9.778,16,2.667,0.889,2,5.667,0.444,6,2.837,0.804,3.44,0.637,7.27422,1,1
Cl2Cr2O2-49392dbd4e5d,5,16.333,5.556,16.333,0.577,0.481,13,9.333,13,3,0.667,3,6.333,0.444,6.333,2.753,0.729,2.753,1.099,12.59406,2,1
Ru2S2-33225c1066de,7,30,14,30,0.707,0.63,12,8,12,4,1,4,7,1,7,2.39,0.19,2.39,0.693,12.49555,2,-1
F2Ta2-3472bad93efb,3,41,32,41,0.707,0.63,11,12,11,4,2,4,6,1,6,2.74,1.24,2.74,0.693,7.42515,2,-1
Cl2Zr2-14bc47f10ec6,2,28.5,11.5,28.5,0.707,0.63,10.5,13,10.5,4,1,4,5.5,1.5,5.5,2.245,0.915,2.245,0.693,15.18079,2,-1
Cl2Cs2-e85b67045b23,0,36,19,36,0.707,0.63,9,16,9,4.5,1.5,4.5,4,3,4,1.975,1.185,1.975,0.693,45.41984,2,-1
Cl2Hf2-048380adb48d,2,44.5,27.5,44.5,0.707,0.63,10.5,13,10.5,4.5,1.5,4.5,5.5,1.5,5.5,2.23,0.93,2.23,0.693,16.00137,2,-1
Br2In2-97f88130feea,0,42,7,42,0.707,0.63,15,4,15,4.5,0.5,4.5,5,2,5,2.37,0.59,2.37,0.693,38.82186,2,-1
Br2K2-a110a9463b72,0,27,8,27,0.707,0.63,9,16,9,4,0,4,4,3,4,1.89,1.07,1.89,0.693,39.6792,2,-1
Ag2Br6-8e63ef562431,10,38,4.5,35,0.791,0.759,15.5,4.5,17,4.25,0.375,4,8,1.5,7,2.702,0.386,2.96,0.562,40.55775,2,1
Au2Br6-dbc278a06722,10,46,16.5,35,0.791,0.759,15.5,4.5,17,4.5,0.75,4,8,1.5,7,2.855,0.158,2.96,0.562,40.606,2,1
Mn2Cl6-5d0554fdd87b,5,19,3,17,0.791,0.759,14.5,7.5,17,3.25,0.375,3,7,0,7,2.758,0.604,3.16,0.562,30.15525,2,1
Ni2Cl6-60147a25e3e9,8,19.75,4.125,17,0.791,0.759,15.25,5.25,17,3.25,0.375,3,7.75,1.125,7,2.848,0.469,3.16,0.562,30.85696,2,1
Re2Br6-601836adaccc,5,45,15,35,0.791,0.759,14.5,7.5,17,4.5,0.75,4,7,0,7,2.695,0.398,2.96,0.562,35.59641,2,1
V2Br6-d9bbe81e24bb,3,32,4.5,35,0.791,0.759,14,9,17,4,0,4,6.5,0.75,7,2.627,0.499,2.96,0.562,37.70898,2,1
Zr2Cl6-a1c0918fe7f5,2,22.75,8.625,17,0.791,0.759,13.75,9.75,17,3.5,0.75,3,6.25,1.125,7,2.703,0.686,3.16,0.562,33.80869,2,1
Co2Cl6-51ce1343b848,7,19.5,3.75,17,0.791,0.759,15,6,17,3.25,0.375,3,7.5,0.75,7,2.84,0.48,3.16,0.562,35.66071,2,1
Cu2Cl6-9d1c1e79b1c9,10,20,4.5,17,0.791,0.759,15.5,4.5,17,3.25,0.375,3,8,1.5,7,2.845,0.473,3.16,0.562,35.64138,2,1
Mn2Br6-21371f8659ed,5,32.5,3.75,35,0.791,0.759,14.5,7.5,17,4,0,4,7,0,7,2.607,0.529,2.96,0.562,41.72378,2,1
Pd2Cl6-630be3bd35b8,10,24.25,10.875,17,0.791,0.759,15.25,5.25,17,3.5,0.75,3,7.75,1.125,7,2.92,0.36,3.16,0.562,38.78798,2,1
NbSeTe-42c9fb2f24aa,4,42.333,6.444,42.333,0.577,0.481,12.333,9.778,12.333,4.667,0.444,4.667,5.667,0.444,5.667,2.083,0.322,2.083,1.099,11.13161,1,1
SSeV-0f3ba3ea815f,3,24.333,6.444,24.333,0.577,0.481,12.333,9.778,12.333,3.667,0.444,3.667,5.667,0.444,5.667,2.253,0.416,2.253,1.099,9.22888,1,1
Cr2S4-6973cc7c778f,5,18.667,3.556,16,0.745,0.693,12.667,8.889,16,3.333,0.444,3,6,0,6,2.273,0.409,2.58,0.637,33.74,2,1
Mn2S4-43790bb1b988,5,19,4,16,0.745,0.693,13,8,16,3.333,0.444,3,6.333,0.444,6,2.237,0.458,2.58,0.637,32.38365,2,1
CoS2-22f672fea437,7,19.667,4.889,16,0.745,0.693,13.667,6.222,16,3.333,0.444,3,7,1.333,6,2.347,0.311,2.58,0.637,8.97954,1,1
MnTe2-9a4fcdbcdd7a,5,43,12,52,0.745,0.693,13,8,16,4.667,0.444,5,6.333,0.444,6,1.917,0.244,2.1,0.637,12.08364,1,1
RuSe2-63e2d2ee3b00,7,37.333,4.444,34,0.745,0.693,13.333,7.111,16,4.333,0.444,4,6.667,0.889,6,2.433,0.156,2.55,0.637,10.4321,1,1
Cl2Cr2N2-b7532b841d6c,5,16,6,16,0.577,0.481,12.667,8.889,12.667,3,0.667,3,6,0.667,6,2.62,0.64,2.62,1.099,12.11332,2,1
Cr2I2S2-7c12ce545360,5,31,14.667,31,0.577,0.481,13,9.333,13,4,0.667,4,6.333,0.444,6.333,2.3,0.427,2.3,1.099,17.57544,2,1
Br2Fe2S2-89a6d3f60200,6,25.667,6.444,25.667,0.577,0.481,13.667,7.556,13.667,3.667,0.444,3.667,7,0.667,7,2.457,0.418,2.457,1.099,15.30998,2,1
Fe2I2O2-305b50ff0b19,6,29,16,29,0.577,0.481,13.667,7.556,13.667,3.667,1.111,3.667,7,0.667,7,2.643,0.542,2.643,1.099,13.79325,2,1
Br2Hg2O2-014d31400f3d,10,41,26,41,0.577,0.481,15,4,15,4,1.333,4,5,2,5,2.8,0.533,2.8,1.099,16.40817,2,1
Br2Mn2N2-9255d48541ae,5,22.333,10.222,22.333,0.577,0.481,13,8,13,3.333,0.889,3.333,6.333,0.889,6.333,2.517,0.644,2.517,1.099,12.4003,2,1
Cl2Mn2S2-e920b94ad8fc,5,19.333,3.778,19.333,0.577,0.481,13.333,8.444,13.333,3.333,0.444,3.333,6.667,0.444,6.667,2.43,0.587,2.43,1.099,16.96682,2,1
I2Ni2O2-2bc8e3ed12d1,8,29.667,15.556,29.667,0.577,0.481,14.333,5.778,14.333,3.667,1.111,3.667,7.667,1.556,7.667,2.67,0.513,2.67,1.099,12.851,2,1
I2N2V2-1431a0eb405e,3,27.667,16.889,27.667,0.577,0.481,12.333,9.778,12.333,3.667,1.111,3.667,5.667,0.889,5.667,2.443,0.542,2.443,1.099,13.43292,2,1
Mn2Se2-33153b20fa2c,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,12.61217,2,1
Ni2O2-1983d617d539,8,18,10,18,0.707,0.63,13,6,13,3,1,3,8,2,8,2.675,0.765,2.675,0.693,8.57587,2,1
Se2Ta2-032ce1cdb6a8,3,53.5,19.5,53.5,0.707,0.63,10.5,11,10.5,5,1,5,5.5,0.5,5.5,2.025,0.525,2.025,0.693,9.12173,2,1
Cr2O6-e65c0c0b704d,5,12,6,8,0.791,0.759,13.5,7.5,16,2.5,0.75,2,6,0,6,2.995,0.667,3.44,0.562,13.15349,2,1
Mn2Te4-b820ecadf516,5,43,12,52,0.745,0.693,13,8,16,4.667,0.444,5,6.333,0.444,6,1.917,0.244,2.1,0.637,21.36348,2,1
Cl4S4Ti4-8c00680c9522,2,18.333,2.444,18.333,0.577,0.481,12.333,11.111,12.333,3.333,0.444,3.333,5.667,1.111,5.667,2.427,0.591,2.427,1.099,38.80925,4,1
Cr2Se2-d37261b9c1c4,5,29,5,29,0.707,0.63,11,10,11,4,0,4,6,0,6,2.105,0.445,2.105,0.693,13.83708,2,1
Hf2S2-a38a7fa2191c,2,44,28,44,0.707,0.63,10,12,10,4.5,1.5,4.5,5,1,5,1.94,0.64,1.94,0.693,18.33032,2,1
MoTe2-03aa23bfac74,5,48.667,4.444,52,0.745,0.693,12.667,8.889,16,5,0,5,6,0,6,2.12,0.027,2.1,0.637,10.56877,1,-1
