id,d_elect,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_group,del_group,mode_group,mean_period,del_period,mode_period,mean_val,del_val,mode_val,mean_electroneg,del_electroneg,mode_electroneg,entropy,cell_area,n_metal,mag_state
NbTe2-24e850444f48,4,48.333,4.889,52,0.745,0.693,12.333,9.778,16,5,0,5,5.667,0.444,6,1.933,0.222,2.1,0.637,11.76431,1,-1
Mo2W2Se8-a1d716aad84d,5,42,10.667,34,0.707,0.674,12.667,8.889,16,4.5,0.667,4,6,0,6,2.453,0.129,2.55,0.868,38.18892,4,-1
Ti2Zr2Se8-846b50801a93,2,33,3.667,34,0.707,0.674,12,10.667,16,4.167,0.278,4,5.333,0.889,6,2.178,0.496,2.55,0.868,44.9762,4,-1
TiZr3Se8-a148361e5e9a,2,34.5,2.75,34,0.717,0.679,12,10.667,16,4.25,0.375,4,5.333,0.889,6,2.161,0.519,2.55,0.824,46.23488,4,-1
Al2Br2N2-1d000b12ca7b,0,18.333,11.111,18.333,0.577,0.481,15,2.667,15,3,0.667,3,5,1.333,5,2.537,0.618,2.537,1.099,11.94224,2,-1
Br2Cu2S2-1690aca87f60,10,26.667,7.111,26.667,0.577,0.481,14.667,4.889,14.667,3.667,0.444,3.667,8,2,8,2.48,0.387,2.48,1.099,16.26271,2,-1
Br2Ga2O2-f06d0758fdea,0,24.667,11.111,24.667,0.577,0.481,15.333,3.111,15.333,3.333,0.889,3.333,5.333,1.556,5.333,2.737,0.618,2.737,1.099,13.1055,2,-1
Hf2I2O2-446d0c7561b2,2,44.333,24.222,44.333,0.577,0.481,12.333,11.111,12.333,4.333,1.556,4.333,5.667,1.111,5.667,2.467,0.778,2.467,1.099,16.12551,2,-1
Hg2I2O2-f4d0539c4bb6,10,47,26,47,0.577,0.481,15,4,15,4.333,1.556,4.333,5,2,5,2.7,0.493,2.7,1.099,16.0539,2,-1
Cl2Mo2S2-3183bad24fef,5,25,11.333,25,0.577,0.481,13,9.333,13,3.667,0.889,3.667,6.333,0.444,6.333,2.633,0.351,2.633,1.099,14.32123,2,-1
Br2Nb2Se2-d526b2cb4001,4,36.667,2.889,36.667,0.577,0.481,12.667,10.222,12.667,4.333,0.444,4.333,6,0.667,6,2.37,0.513,2.37,1.099,17.6169,2,-1
Br2Ni2Se2-014c41b1bf55,8,32.333,2.889,32.333,0.577,0.481,14.333,5.778,14.333,4,0,4,7.667,1.556,7.667,2.473,0.376,2.473,1.099,17.46761,2,-1
Mo2O2-af41089b844c,5,25,17,25,0.707,0.63,11,10,11,3.5,1.5,3.5,6,0,6,2.8,0.64,2.8,0.693,14.09605,2,1
Ni2Se2-3c97e1d4a4f8,8,31,3,31,0.707,0.63,13,6,13,4,0,4,8,2,8,2.23,0.32,2.23,0.693,13.13039,2,1
O2Ti2-f43fbd954237,2,15,7,15,0.707,0.63,10,12,10,3,1,3,5,1,5,2.49,0.95,2.49,0.693,15.4629,2,1
STeV-18374204965d,3,30.333,14.444,30.333,0.577,0.481,12.333,9.778,12.333,4,0.667,4,5.667,0.444,5.667,2.103,0.318,2.103,1.099,10.44899,1,1
Cl2Co2-a6de66619bdb,7,22,5,22,0.707,0.63,13,8,13,3.5,0.5,3.5,8,1,8,2.52,0.64,2.52,0.693,9.04537,2,1
Fe2S2-4b2f182eaf20,6,21,5,21,0.707,0.63,12,8,12,3.5,0.5,3.5,7,1,7,2.205,0.375,2.205,0.693,11.42118,2,1
Br2Ti2-56c3462f3f39,2,28.5,6.5,28.5,0.707,0.63,10.5,13,10.5,4,0,4,5.5,1.5,5.5,2.25,0.71,2.25,0.693,13.5339,2,1
Cr2S2-d0248eb77981,5,20,4,20,0.707,0.63,11,10,11,3.5,0.5,3.5,6,0,6,2.12,0.46,2.12,0.693,12.77585,2,1
Fe2Te2-a15268879f97,6,39,13,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,1.965,0.135,1.965,0.693,14.71775,2,1
Mn2Se2-42fab1cf9720,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,12.93088,2,1
Ni2Te2-17e9890eeaec,8,40,12,40,0.707,0.63,13,6,13,4.5,0.5,4.5,8,2,8,2.005,0.095,2.005,0.693,13.32808,2,1
Br2V2-da67499d6af8,3,29,6,29,0.707,0.63,11,12,11,4,0,4,6,1,6,2.295,0.665,2.295,0.693,13.25155,2,1
Se2V2-9556122e471e,3,28.5,5.5,28.5,0.707,0.63,10.5,11,10.5,4,0,4,5.5,0.5,5.5,2.09,0.46,2.09,0.693,13.19079,2,1
Br2Y2-852fc0d86ecb,1,37,2,37,0.707,0.63,10,14,10,4.5,0.5,4.5,5,2,5,2.09,0.87,2.09,0.693,20.30963,2,1
Nb2S2-6446595a3d22,4,28.5,12.5,28.5,0.707,0.63,10.5,11,10.5,4,1,4,5.5,0.5,5.5,2.09,0.49,2.09,0.693,9.09453,2,1
S2Ti2-6355dd9cda9b,2,19,3,19,0.707,0.63,10,12,10,3.5,0.5,3.5,5,1,5,2.06,0.52,2.06,0.693,10.09156,2,1
CoF2-2f2f01730826,7,15,8,9,0.745,0.693,14.333,7.111,17,2.667,0.889,2,7.667,0.889,7,3.28,0.933,3.98,0.637,10.94241,1,1
CrSe2-364481137d28,5,30.667,4.444,34,0.745,0.693,12.667,8.889,16,4,0,4,6,0,6,2.253,0.396,2.55,0.637,14.27524,1,1
MnBr2-6e4f4724ab75,5,31.667,4.444,35,0.745,0.693,13.667,8.889,17,4,0,4,7,0,7,2.49,0.627,2.96,0.637,16.54175,1,1
NbO2-8ca360f9209f,4,19,14.667,8,0.745,0.693,12.333,9.778,16,3,1.333,2,5.667,0.444,6,2.827,0.818,3.44,0.637,11.69528,1,1
PdF2-ee10b74aa014,10,21.333,16.444,9,0.745,0.693,14.667,6.222,17,3,1.333,2,8,1.333,7,3.387,0.791,3.98,0.637,8.99454,1,1
ScF2-712bdd295377,1,13,5.333,9,0.745,0.693,12.333,12.444,17,2.667,0.889,2,5.667,1.778,7,3.107,1.164,3.98,0.637,9.7628,1,1
VCl2-54579dd244a5,3,19,2.667,17,0.745,0.693,13,10.667,17,3.333,0.444,3,6.333,0.889,7,2.65,0.68,3.16,0.637,12.6135,1,1
CH2Mn2O2-7938aedd38e3,5,10.571,8.245,25,0.515,0.418,8.857,11.102,7,2.286,0.98,4,4.571,2.204,7,2.419,0.621,1.55,1.352,7.87485,2,1
CZr2-758fc914677e,2,28.667,15.111,40,0.745,0.693,7.333,8.889,4,4,1.333,5,4,0,4,1.737,0.542,1.33,0.637,9.39824,2,1
NTi2-11d3491aacd8,2,17,6.667,22,0.745,0.693,7.667,9.778,4,3.333,0.889,4,4.333,0.444,4,2.04,0.667,1.54,0.637,7.68555,2,1
C2F2Cr3-370de8d0f4f5,5,14.571,8.082,24,0.589,0.5,11.429,9.306,6,2.857,0.98,4,5.714,0.98,6,2.577,0.802,1.66,1.079,7.57104,3,1
C2F2Y3-3a7aee4bc19d,1,21,15.429,39,0.589,0.5,10.143,12.245,3,3.286,1.469,5,4.429,1.469,3,2.389,1.002,1.22,1.079,10.77656,3,1
O2N3Mn4-24ea907e3c1d,5,15.222,8.691,25,0.598,0.514,11.667,8.296,7,2.889,0.988,4,6.111,0.79,7,2.467,0.815,1.55,1.061,7.30016,4,1
P2Ti2Te6-c2ee5fa34be0,2,38.6,16.08,52,0.663,0.614,13.4,7.52,16,4.4,0.72,5,5.4,0.72,6,2.006,0.186,2.1,0.95,40.73406,2,1
CuBr2-d7a74d296767,10,33,2.667,35,0.745,0.693,15,5.333,17,4,0,4,8.333,1.778,7,2.607,0.471,2.96,0.637,11.24821,1,1
NiBr2-54174cbbd86d,8,32.667,3.111,35,0.745,0.693,14.667,6.222,17,4,0,4,8,1.333,7,2.61,0.467,2.96,0.637,11.03012,1,1
Co2Se2-17ef6bf46fb6,7,30.5,3.5,30.5,0.707,0.63,12.5,7,12.5,4,0,4,7.5,1.5,7.5,2.215,0.335,2.215,0.693,12.12234,2,-1
Cl2In2-9d0130e99f0c,0,33,16,33,0.707,0.63,15,4,15,4,1,4,5,2,5,2.47,0.69,2.47,0.693,14.56847,2,-1
VBr2-defb0e849909,3,31,5.333,35,0.745,0.693,13,10.667,17,4,0,4,6.333,0.889,7,2.517,0.591,2.96,0.637,10.24974,1,1
YI2-ed68c71a1964,1,48.333,6.222,53,0.745,0.693,12.333,12.444,17,5,0,5,5.667,1.778,7,2.18,0.64,2.66,0.637,14.59102,1,1
Ag2Cl6-c3186a02ba23,10,24.5,11.25,17,0.791,0.759,15.5,4.5,17,3.5,0.75,3,8,1.5,7,2.853,0.461,3.16,0.562,36.69887,2,1
Au2Cl6-dc3bafe73d1d,10,32.5,23.25,17,0.791,0.759,15.5,4.5,17,3.75,1.125,3,8,1.5,7,3.005,0.233,3.16,0.562,37.92321,2,1
Cr2Br6-a2b76211abb5,5,32.25,4.125,35,0.791,0.759,14.25,8.25,17,4,0,4,6.75,0.375,7,2.635,0.488,2.96,0.562,35.89505,2,1
Hf2I6-03ec8f3f6481,2,57.75,7.125,53,0.791,0.759,13.75,9.75,17,5.25,0.375,5,6.25,1.125,7,2.32,0.51,2.66,0.562,43.44415,2,1
Mn2I6-d9a80f37eeb5,5,46,10.5,53,0.791,0.759,14.5,7.5,17,4.75,0.375,5,7,0,7,2.383,0.416,2.66,0.562,43.83988,2,1
Ni2I6-58d94153e8e9,8,46.75,9.375,53,0.791,0.759,15.25,5.25,17,4.75,0.375,5,7.75,1.125,7,2.473,0.281,2.66,0.562,40.48772,2,1
Re2Cl6-f051c19359c3,5,31.5,21.75,17,0.791,0.759,14.5,7.5,17,3.75,1.125,3,7,0,7,2.845,0.473,3.16,0.562,28.64136,2,1
Ta2Br6-3dcb52d52fb1,3,44.5,14.25,35,0.791,0.759,14,9,17,4.5,0.75,4,6.5,0.75,7,2.595,0.548,2.96,0.562,32.86378,2,1
V2Cl6-8e5cf44cfd10,3,18.5,2.25,17,0.791,0.759,14,9,17,3.25,0.375,3,6.5,0.75,7,2.777,0.574,3.16,0.562,33.54677,2,1
Zr2I6-7442c0cb7793,2,49.75,4.875,53,0.791,0.759,13.75,9.75,17,5,0,5,6.25,1.125,7,2.328,0.499,2.66,0.562,43.83371,2,1
Co2Cl6-2d728ba2b114,7,19.5,3.75,17,0.791,0.759,15,6,17,3.25,0.375,3,7.5,0.75,7,2.84,0.48,3.16,0.562,35.00401,2,1
Hf2Br6-377d56c4922a,2,44.25,13.875,35,0.791,0.759,13.75,9.75,17,4.5,0.75,4,6.25,1.125,7,2.545,0.623,2.96,0.562,36.19369,2,1
Mn2Cl6-9f0cb5bce5e9,5,19,3,17,0.791,0.759,14.5,7.5,17,3.25,0.375,3,7,0,7,2.758,0.604,3.16,0.562,36.67852,2,1
Ni2Br6-dc981f06072d,8,33.25,2.625,35,0.791,0.759,15.25,5.25,17,4,0,4,7.75,1.125,7,2.697,0.394,2.96,0.562,39.84542,2,1
Ta2Cl6-8959547e73cb,3,31,21,17,0.791,0.759,14,9,17,3.75,1.125,3,6.5,0.75,7,2.745,0.623,3.16,0.562,28.82121,2,1
V2Br6-512eea8b9d36,3,32,4.5,35,0.791,0.759,14,9,17,4,0,4,6.5,0.75,7,2.627,0.499,2.96,0.562,41.08952,2,1
STeV-05f16dc9de6b,3,30.333,14.444,30.333,0.577,0.481,12.333,9.778,12.333,4,0.667,4,5.667,0.444,5.667,2.103,0.318,2.103,1.099,10.00325,1,1
Mn2S4-03caf7d3c0d3,5,19,4,16,0.745,0.693,13,8,16,3.333,0.444,3,6.333,0.444,6,2.237,0.458,2.58,0.637,32.9374,2,1
FeO2-e25173381887,6,14,8,8,0.745,0.693,13.333,7.111,16,2.667,0.889,2,6.667,0.889,6,2.903,0.716,3.44,0.637,6.83915,1,1
MnTe2-66a6488e6059,5,43,12,52,0.745,0.693,13,8,16,4.667,0.444,5,6.333,0.444,6,1.917,0.244,2.1,0.637,11.60134,1,1
Cl2Cr2N2-6f3c7a9a7189,5,16,6,16,0.577,0.481,12.667,8.889,12.667,3,0.667,3,6,0.667,6,2.62,0.64,2.62,1.099,12.5707,2,1
Cr2I2S2-a68f6e0481d3,5,31,14.667,31,0.577,0.481,13,9.333,13,4,0.667,4,6.333,0.444,6.333,2.3,0.427,2.3,1.099,17.50705,2,1
Br2Fe2Se2-ad6b4823057d,6,31.667,3.778,31.667,0.577,0.481,13.667,7.556,13.667,4,0,4,7,0.667,7,2.447,0.411,2.447,1.099,17.39036,2,1
Fe2I2O2-e70846944452,6,29,16,29,0.577,0.481,13.667,7.556,13.667,3.667,1.111,3.667,7,0.667,7,2.643,0.542,2.643,1.099,14.00599,2,1
Br2Mn2N2-0b5c98204fe6,5,22.333,10.222,22.333,0.577,0.481,13,8,13,3.333,0.889,3.333,6.333,0.889,6.333,2.517,0.644,2.517,1.099,12.35719,2,1
Cl2Mn2S2-3f984c36f359,5,19.333,3.778,19.333,0.577,0.481,13.333,8.444,13.333,3.333,0.444,3.333,6.667,0.444,6.667,2.43,0.587,2.43,1.099,16.92341,2,1
I2Ni2O2-96fb249c879b,8,29.667,15.556,29.667,0.577,0.481,14.333,5.778,14.333,3.667,1.111,3.667,7.667,1.556,7.667,2.67,0.513,2.67,1.099,12.85468,2,1
Br2O2V2-87834d3ee832,3,22,9.333,22,0.577,0.481,12.667,10.222,12.667,3.333,0.889,3.333,6,0.667,6,2.677,0.698,2.677,1.099,13.31424,2,1
I2N2V2-0a821d6fb09b,3,27.667,16.889,27.667,0.577,0.481,12.333,9.778,12.333,3.667,1.111,3.667,5.667,0.889,5.667,2.443,0.542,2.443,1.099,13.44302,2,1
Ni2O2-d8358a94a4a6,8,18,10,18,0.707,0.63,13,6,13,3,1,3,8,2,8,2.675,0.765,2.675,0.693,8.47898,2,1
O2V2-17e29fe5468e,3,15.5,7.5,15.5,0.707,0.63,10.5,11,10.5,3,1,3,5.5,0.5,5.5,2.535,0.905,2.535,0.693,8.65033,2,1
Cr2S6-4f069b03f581,5,18,3,16,0.791,0.759,13.5,7.5,16,3.25,0.375,3,6,0,6,2.35,0.345,2.58,0.562,21.03151,2,1
Mo2Br4-d6d54aa7e7c4,5,37.333,3.111,35,0.745,0.693,13.333,9.778,17,4.333,0.444,4,6.667,0.444,7,2.693,0.356,2.96,0.637,21.23951,2,1
V2Br4-78f3d2dfa547,3,31,5.333,35,0.745,0.693,13,10.667,17,4,0,4,6.333,0.889,7,2.517,0.591,2.96,0.637,24.44562,2,1
Cl4Hf4Se4-5ae6fee60d68,2,41,20.667,41,0.577,0.481,12.333,11.111,12.333,4.333,1.111,4.333,5.667,1.111,5.667,2.337,0.691,2.337,1.099,43.69825,4,1
Cl4Se4Ti4-716f6cdbc2ad,2,24.333,6.444,24.333,0.577,0.481,12.333,11.111,12.333,3.667,0.444,3.667,5.667,1.111,5.667,2.417,0.584,2.417,1.099,40.6301,4,1
Cr2Te2-69d7a1a3d692,5,38,14,38,0.707,0.63,11,10,11,4.5,0.5,4.5,6,0,6,1.88,0.22,1.88,0.693,15.22169,2,1
Ni2Te2-725232091cb8,8,40,12,40,0.707,0.63,13,6,13,4.5,0.5,4.5,8,2,8,2.005,0.095,2.005,0.693,13.95825,2,1
O2Sc2-b7d098851038,1,14.5,6.5,14.5,0.707,0.63,9.5,13,9.5,3,1,3,4.5,1.5,4.5,2.4,1.04,2.4,0.693,19.41793,2,1
SeTeV-dd97df500ccd,3,36.333,10.444,36.333,0.577,0.481,12.333,9.778,12.333,4.333,0.444,4.333,5.667,0.444,5.667,2.093,0.309,2.093,1.099,10.5977,1,1
Cl2Co2-6d9ab78c7c2d,7,22,5,22,0.707,0.63,13,8,13,3.5,0.5,3.5,8,1,8,2.52,0.64,2.52,0.693,8.90376,2,1
Fe2Se2-4e53c67a27c6,6,30,4,30,0.707,0.63,12,8,12,4,0,4,7,1,7,2.19,0.36,2.19,0.693,12.60197,2,1
Br2Sc2-d62ee63a9db1,1,28,7,28,0.707,0.63,10,14,10,4,0,4,5,2,5,2.16,0.8,2.16,0.693,11.26205,2,1
Cr2S2-69045fcc4b5d,5,20,4,20,0.707,0.63,11,10,11,3.5,0.5,3.5,6,0,6,2.12,0.46,2.12,0.693,11.93,2,1
Fe2Te2-b49eca087529,6,39,13,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,1.965,0.135,1.965,0.693,13.1016,2,1
Cl2Mn2-52bd107bccb6,5,21,4,21,0.707,0.63,12,10,12,3.5,0.5,3.5,7,0,7,2.355,0.805,2.355,0.693,12.74623,2,1
Mn2Te2-18cc9a8aa37e,5,38.5,13.5,38.5,0.707,0.63,11.5,9,11.5,4.5,0.5,4.5,6.5,0.5,6.5,1.825,0.275,1.825,0.693,17.62264,2,1
Rh2S2-75d2f4af683a,8,30.5,14.5,30.5,0.707,0.63,12.5,7,12.5,4,1,4,7.5,1.5,7.5,2.43,0.15,2.43,0.693,15.47511,2,1
Cl2Y2-d4d8a110a15d,1,28,11,28,0.707,0.63,10,14,10,4,1,4,5,2,5,2.19,0.97,2.19,0.693,19.95452,2,1
CoI2-b8ec8fbbcdc2,7,44.333,11.556,53,0.745,0.693,14.333,7.111,17,4.667,0.444,5,7.667,0.889,7,2.4,0.347,2.66,0.637,17.48826,1,1
MnCl2-8eec64049548,5,19.667,3.556,17,0.745,0.693,13.667,8.889,17,3.333,0.444,3,7,0,7,2.623,0.716,3.16,0.637,15.28929,1,1
TaO2-aa97a13a2bcc,3,29.667,28.889,8,0.745,0.693,12.333,9.778,16,3.333,1.778,2,5.667,0.444,6,2.793,0.862,3.44,0.637,13.38717,1,1
CZr2-bfff47fe1288,2,28.667,15.111,40,0.745,0.693,7.333,8.889,4,4,1.333,5,4,0,4,1.737,0.542,1.33,0.637,9.47848,2,1
NF2Mn2-34cb297b0d13,5,15,8,25,0.6,0.514,12.6,8.96,7,2.8,0.96,4,6.6,0.64,7,2.82,1.016,1.55,1.055,8.32639,2,1
C2O2Cr3-7bc14ef5c0a9,5,14.286,8.327,24,0.589,0.5,11.143,8.816,6,2.857,0.98,4,5.429,0.816,6,2.423,0.654,1.66,1.079,7.23045,3,1
F2N2Mn3-599427d1517d,5,15.286,8.327,25,0.589,0.5,12.143,8.816,7,2.857,0.98,4,6.429,0.816,7,2.67,0.96,1.55,1.079,7.71744,3,1
F2C3Cr4-08daf0641368,5,14.667,8.296,24,0.598,0.514,11.111,9.086,6,2.889,0.988,4,5.556,1.037,6,2.472,0.722,1.66,1.061,7.76605,4,1
C3Zr4-70f55c32aafd,2,25.429,16.653,40,0.714,0.643,8.286,9.796,4,3.714,1.469,5,4,0,4,1.853,0.598,1.33,0.683,9.6662,4,1
H2O2N3Mn4-0575209d5cde,5,12.636,8.992,25,0.522,0.432,9.727,10.314,7,2.545,1.058,4,5.182,1.62,7,2.418,0.711,1.55,1.342,7.38446,4,1
F2N3V4-3f5b11d43a1b,3,14.556,7.506,23,0.598,0.514,11,10.667,5,2.889,0.988,4,5.444,0.691,5,2.622,0.882,1.63,1.061,7.76375,4,1
Cr2P2S6-34b15b944407,5,17.4,2.64,16,0.663,0.614,13.8,6.24,16,3.2,0.32,3,5.8,0.32,6,2.318,0.314,2.58,0.95,30.87033,2,1
AlCl2-19e656c59c1b,0,15.667,1.778,17,0.745,0.693,15.667,3.556,17,3,0,3,5.667,1.778,7,2.643,0.689,3.16,0.637,12.72421,1,1
AuCl2-833b677628cf,10,37.667,27.556,17,0.745,0.693,15,5.333,17,4,1.333,3,8.333,1.778,7,2.953,0.276,3.16,0.637,13.60732,1,1
RhBr2-1798ee766847,8,38.333,4.444,35,0.745,0.693,14.333,7.111,17,4.333,0.444,4,7.667,0.889,7,2.733,0.302,2.96,0.637,12.66605,1,1
CuCl2-2caa7fd2e99b,10,21,5.333,17,0.745,0.693,15,5.333,17,3.333,0.444,3,8.333,1.778,7,2.74,0.56,3.16,0.637,10.07892,1,1
NiCl2-2b2c799ab39a,8,20.667,4.889,17,0.745,0.693,14.667,6.222,17,3.333,0.444,3,8,1.333,7,2.743,0.556,3.16,0.637,9.82929,1,1
VCl2-00445ca3fc6e,3,19,2.667,17,0.745,0.693,13,10.667,17,3.333,0.444,3,6.333,0.889,7,2.65,0.68,3.16,0.637,8.98662,1,1
Ag2Cl6-f753db8ae919,10,24.5,11.25,17,0.791,0.759,15.5,4.5,17,3.5,0.75,3,8,1.5,7,2.853,0.461,3.16,0.562,36.32231,2,1
Au2Cl6-1fee35476d21,10,32.5,23.25,17,0.791,0.759,15.5,4.5,17,3.75,1.125,3,8,1.5,7,3.005,0.233,3.16,0.562,36.6497,2,1
Cr2Br6-e406fd4547de,5,32.25,4.125,35,0.791,0.759,14.25,8.25,17,4,0,4,6.75,0.375,7,2.635,0.488,2.96,0.562,35.99204,2,1
Cl2Cu2-c1a86f114149,10,23,6,23,0.707,0.63,14,6,14,3.5,0.5,3.5,9,2,9,2.53,0.63,2.53,0.693,12.53224,2,-1
F2Ga2-51b961036fbe,0,20,11,20,0.707,0.63,15,4,15,3,1,3,5,2,5,2.895,1.085,2.895,0.693,8.94666,2,-1
Hf2Se2-a2f6b7b424d2,2,53,19,53,0.707,0.63,10,12,10,5,1,5,5,1,5,1.925,0.625,1.925,0.693,15.76374,2,-1
Fe2Br6-c559fabf0ecf,6,32.75,3.375,35,0.791,0.759,14.75,6.75,17,4,0,4,7.25,0.375,7,2.677,0.424,2.96,0.562,34.2931,2,1
Mn2I6-2033b3b9502c,5,46,10.5,53,0.791,0.759,14.5,7.5,17,4.75,0.375,5,7,0,7,2.383,0.416,2.66,0.562,43.64564,2,1
Os2Br6-9ebcce66be85,6,45.25,15.375,35,0.791,0.759,14.75,6.75,17,4.5,0.75,4,7.25,0.375,7,2.77,0.285,2.96,0.562,36.3485,2,1
V2I6-c0ce836c2f33,3,45.5,11.25,53,0.791,0.759,14,9,17,4.75,0.375,5,6.5,0.75,7,2.402,0.386,2.66,0.562,44.30717,2,1
Hf2Cl6-ce2074ea7bd9,2,30.75,20.625,17,0.791,0.759,13.75,9.75,17,3.75,1.125,3,6.25,1.125,7,2.695,0.698,3.16,0.562,32.72729,2,1
Mn2Cl6-eb1a0a07e5b5,5,19,3,17,0.791,0.759,14.5,7.5,17,3.25,0.375,3,7,0,7,2.758,0.604,3.16,0.562,36.72373,2,1
