Material,Label,E-hull,E-band,E-form,a,V,dens.,d[M-X],A.R(X),E.N(X),A(X)
AgO,-1,0.047,0.18,-0.393,6.95,454.53,7.24,2.15,0.48,3.44,8
AgO2,-1,0.306,0,0.183,5.35,344.54,5.39,2.23,0.48,3.44,8
AgSe,1,0.102,0,-0.143,5.98,213.55,5.81,2.59,1.03,2.55,34
AgTe,1,0.001,0.24,-0.071,4.78,859.74,7.28,2.8,1.23,2.1,52
AgTe3,1,0.019,0,-0.017,8.63,341.65,7.15,3.05,1.23,2.1,52
AuS,1,0.145,0,0.057,3.93,91.34,8.33,2.48,0.87,2.58,16
AuS2,1,0.623,0,0.564,5.4,157.13,5.52,2.34,0.87,2.58,16
AuSe,1,0,0.26,-0.14,8.79,199.81,9.17,2.43,1.03,2.55,34
CoO,-1,0,0.59,-1.29,3.2,45.65,5.45,1.91,0.48,3.44,8
CoO2,-1,0,0.59,-1.07,13.23,247.17,4.85,1.81,0.48,3.44,8
CoS,1,0.085,0,-0.375,3.62,65.81,4.59,2.16,0.87,2.58,16
CoS2,1,0,0,-0.454,5.52,168.57,4.85,2.32,0.87,2.58,16
CoSe,1,0.121,0,-0.186,3.59,71.81,6.38,2.3,1.03,2.55,34
CoSe2,1,0,0,-0.346,3.66,104.37,6.9,2.42,1.03,2.55,34
CoTe,1,0.09,0,-0.166,3.76,68.81,7.58,2.62,1.23,2.1,52
CoTe2,1,0.019,0,-0.166,3.76,68.81,7.58,2.54,1.23,2.1,52
CrO,-1,0.005,0,-1.965,4.21,94.07,4.8,1.99,0.48,3.44,8
CrO2,-1,0.057,0.97,-1.988,3.01,133.05,4.19,1.89,0.48,3.44,8
CrO3,-1,0.047,2.29,-1.508,4.72,230.21,2.89,1.57,0.48,3.44,8
CrS2,1,0,-0.869,3.36,53.15,3.63,2.09,2.36,0.87,2.58,16
CrSe,1,0.137,0,-0.539,3.78,75.79,5.74,2.67,1.03,2.55,34
CrSe2,1,0.137,0,-0.769,3.53,62.23,5.6,2.49,1.03,2.55,34
CrTe,1,0.141,0,-0.247,4.12,185.68,6.42,2.84,1.23,2.1,52
CrTe2,1,0,0,-0.477,3.86,80.13,6.37,2.71,1.23,2.1,52
CrTe3,1,0,0,-0.451,8.21,980.18,5.89,2.73,1.23,2.1,52
CuO,-1,0,0,-0.785,4.1,85.53,6.16,1.94,0.48,3.44,8
CuO2,-1,0.164,0,-0.359,2.94,102.77,4.63,1.94,0.48,3.44,8
CuS,1,0,0,-0.277,3.75,400.7,4.75,2.28,0.87,2.58,16
CuS2,1,0.005,0,-0.18,3.59,97.9,4.33,2.43,0.87,2.58,16
CuSe,1,0,0,-0.185,3.91,469.89,6.04,2.47,1.03,2.55,34
CuSe2,1,0,0,-0.134,3.78,117.14,6.28,2.56,1.03,2.55,34
FeO,-1,0,1.82,-1.479,3.1,42.49,5.61,2.09,0.48,3.44,8
FeO2,-1,0.146,0,-1.275,4.61,63.25,4.61,1.94,0.48,3.44,8
FeO3,-1,0.542,0.31,-0.523,15.47,245.88,2.81,1.85,0.48,3.44,8
FeS,1,0,0,-0.757,3.59,67.99,4.29,2.17,0.87,2.58,16
FeS2,1,0,0.88,-0.847,3.38,80.67,4.94,2.25,0.87,2.58,16
FeSe,1,0,0,-0.508,3.93,90.61,4.94,2.48,1.03,2.55,34
FeSe2,1,0,0.37,-0.67,3.58,98.52,7.21,2.36,1.03,2.55,34
FeTe,1,0.076,0,-0.27,3.66,87.08,7,2.58,1.23,2.1,52
FeTe2,1,0,0.08,-0.462,3.87,126.84,8.14,2.55,1.23,2.1,52
HfO2,-1,0,4.02,-3.915,5.09,136.52,10.24,2.03,0.48,3.44,8
HfS,1,0,0,-1.691,3.39,34.03,10.27,2.6,0.87,2.58,16
HfS2,1,0,1.22,-1.806,3.64,69.47,5.8,2.54,0.87,2.58,16
HfS3,1,0,1.13,-1.373,5.13,167.94,5.43,2.59,0.87,2.58,16
HfSe2,1,0,0.53,-1.565,3.77,78.74,7.09,2.67,1.03,2.55,34
HfSe3,1,0.004,0.32,-1.17,3.45,194.61,7.09,2.77,1.03,2.55,34
HfTe2,1,0,0,-0.993,3.99,97.07,7.42,2.89,1.23,2.1,52
HfTe3,1,0.04,0,-0.75,5.95,244.57,7.62,2.95,1.23,2.1,52
IrO2,-1,0,0,-1.258,4.51,64.48,11.55,1.97,0.48,3.44,8
IrO3,-1,0,0,-0.979,7.07,371.95,8.58,1.94,0.48,3.44,8
IrS2,1,0,0.54,-0.502,3.59,405.33,8.4,2.3,0.87,2.58,16
IrSe,1,0.526,0,0.208,3.8,85.93,10.48,2.4,1.03,2.55,34
IrSe2,1,0,0.05,-0.424,3.77,476.94,9.75,2.43,1.03,2.55,34
IrSe3,1,0.63,0,-0.268,6.01,653.95,7.63,2.5,1.03,2.55,34
MoO2,-1,0.082,1.06,-1.936,10.62,368.34,4.61,2.02,0.48,3.44,8
MoO3,-1,0,1.37,-1.921,7.18,426.53,4.48,1.72,0.48,3.44,8
MoS2,1,0,1.2,-0.966,3.18,170.76,4.67,2.42,0.87,2.58,16
MoS3,1,0.303,0.73,-0.421,6.11,209.34,3.05,2.12,0.87,2.58,16
MoSe,1,0.619,0,0.057,3.27,33.57,8.65,2.62,1.03,2.55,34
MoSe2,1,0.004,1.14,-0.746,3.32,344.31,4.9,2.53,1.03,2.55,34
MoTe2,1,0.006,0.59,-0.301,3.56,428.28,5.45,2.73,1.23,2.1,52
MnO,-1,0.053,0.18,-1.977,4.45,87.99,8,2.22,0.48,3.44,8
MnO2,-1,0.017,1.15,-1.803,9.72,269.53,4.28,1.88,0.48,3.44,8
MnO3,-1,0.494,0,-0.871,5.21,186.13,3.67,2.12,0.48,3.44,8
MnS,1,0,0,-1.14,3.66,103.4,4.19,2.58,0.87,2.58,16
MnS2,1,0,0,-0.799,3.36,191.73,3.09,2.34,0.87,2.58,16
MnSe,1,0,0,-0.95,4.2,103.85,4.28,2.56,1.03,2.55,34
MnSe2,1,0.069,0,-0.564,6.23,241.31,5.86,2.57,1.03,2.55,34
MnTe,1,0.054,0,-0.557,4.17,203.84,5.95,2.94,1.23,2.1,52
MnTe2,1,0,0,-0.423,7,342.91,6.01,2.93,1.23,2.1,52
NiO,-1,0,2.3,-1.216,4.19,73.37,6.76,2.09,0.48,3.44,8
NiO2,-1,0.18,1.81,-0.685,2.8,142.49,3.17,1.88,0.48,3.44,8
NiO3,-1,1.053,0,0.444,4.01,203.44,1.74,1.81,0.48,3.44,8
NiS,1,0.014,0,-0.61,9.5,244.59,5.55,2.25,0.87,2.58,16
NiS2,1,0,0.24,-0.591,4.08,103.51,3.99,2.17,0.87,2.58,16
NiSe,1,0,0,-0.329,9.95,284.07,7.24,2.37,1.03,2.55,34
NiSe2,1,0.061,0,-0.258,3.65,106.93,6.73,2.47,1.03,2.55,34
NiTe,1,0,0,-0.19,3.861,258.87,7.17,2.48,1.23,2.1,52
NiTe2,1,0,0,-0.225,3.87,69.45,7.5,2.58,1.23,2.1,52
OsO2,-1,0,0,-1.341,4.48,64.36,11.47,1.95,0.48,3.44,8
OsS2,1,0,0,-0.483,5.64,179.42,9.42,2.36,0.87,2.58,16
OsSe2,1,0,0.2,-0.28,5.98,213.78,10.82,2.48,1.03,2.55,34
PdO,-1,0,0,-0.615,3.05,50.08,8.12,2.03,0.48,3.44,8
PdO2,-1,0,0,-0.431,4.52,64.34,7.14,1.97,0.48,3.44,8
PdS,1,0,0,-0.457,6.47,277.96,6.62,2.35,0.87,2.58,16
PdS2,1,0,0.42,-0.338,5.48,240.46,4.71,2.09,0.87,2.58,16
PdS3,1,0.419,0,0.166,3.35,181.07,3.72,2.37,0.87,2.58,16
PdSe,1,0,0,-0.392,6.79,320.76,7.68,2.44,1.03,2.55,34
PdSe2,1,0,0.4,-0.326,5.76,276.09,6.36,2.45,1.03,2.55,34
PtO,-1,0.139,0,-0.371,3.16,53.46,13.11,2.07,0.48,3.44,8
PtO2,-1,0,0.65,-0.628,3.16,64.74,11.65,2.01,0.48,3.44,8
PtO3,-1,0.087,0,-0.385,4.89,265.99,9.11,1.97,0.48,3.44,8
PtS,1,0,0.38,-0.533,3.49,74.69,10.1,2.32,0.87,2.58,16
PtSe2,1,0,0.62,-0.464,3.72,69.65,8.42,2.52,1.03,2.55,34
PtTe2,1,0,0,-0.442,4.05,77.7,9.62,2.71,1.23,2.1,52
PdTe2,1,0,0,-0.344,4.07,75.08,8,2.72,1.23,2.1,52
PtS2,1,0,1.55,-0.439,6.12,61.04,7.05,2.39,0.87,2.58,16
ReO2,-1,0.002,0,-1.892,4.59,125.99,11.5,1.99,0.48,3.44,8
ReO3,-1,0,0,-2.131,3.77,53.38,7.29,1.88,0.48,3.44,8
ReSe2,1,0,1.14,-0.463,6.64,265.05,8.62,2.43,1.03,2.55,34
ReS2,1,0,1.32,-0.902,6.4,467.53,7.11,2.31,0.87,2.58,16
ReTe,1,0.902,0,0.576,3.3,83.53,12.48,2.61,1.23,2.1,52
ReTe2,1,0.058,0.66,-0.377,7.1,332.97,8.81,2.67,1.23,2.1,52
RhO2,-1,0,0,-0.981,4.49,62.22,7.2,1.95,0.48,3.44,8
RhO3,-1,0.557,0,-0.179,11.08,311.98,2.41,1.75,0.48,3.44,8
RhS,1,0.223,0,-0.338,3.64,73.83,6.07,2.28,0.87,2.58,16
RhS2,1,0.045,0,-0.464,5.73,188.11,5.9,2.41,0.87,2.58,16
RhSe,1,0.113,0,-0.314,3.77,69.76,8.66,2.6,1.03,2.55,34
RhSe2,1,0,0,-0.516,3.73,471.79,7.34,2.47,1.03,2.55,34
RuO2,-1,0,0,-1.21,4.48,62.52,7.07,1.94,0.48,3.44,8
RuS2,1,0,0.67,-0.687,5.63,178.51,6.15,2.36,0.87,2.58,16
RuSe2,1,0,0.31,-0.524,5.97,212.95,8.08,2.49,1.03,2.55,34
ScO,-1,0.104,0,-3.114,4.46,88.53,4.57,2.23,0.48,3.44,8
ScO2,-1,0.272,0.59,-2.947,3.25,176.55,2.9,2.32,0.48,3.44,8
ScO3,-1,0.692,0,-1.722,4.37,75.2,4.11,2.58,0.48,3.44,8
ScS,1,0,0,-2.075,5.22,142.04,3.6,2.61,0.87,2.58,16
ScS2,1,0.314,0,-1.495,6.06,138.58,2.61,2.54,0.87,2.58,16
ScSe,1,0,0,-1.789,5.47,163.48,5.03,2.73,1.03,2.55,34
ScSe2,1,0.073,0,-1.563,3.95,123.83,5.44,2.93,1.03,2.55,34
ScTe,1,0,0,-1.389,4.16,103.32,5.55,2.96,1.23,2.1,52
ScTe3,1,0.325,0,-0.6,7.14,225.41,6.3,3.15,1.23,2.1,52
TaO2,-1,0.055,0.35,-2.823,13.82,1150.91,9.83,1.97,0.48,3.44,8
TaO3,-1,0.134,0,-2.564,3.96,62.1,6.12,1.98,0.48,3.44,8
TaO,-1,1.103,0,-1.056,4.51,91.57,14.29,2.25,0.48,3.44,8
TaS,1,0.221,0,-0.918,3.28,31.07,11.39,2.52,0.87,2.58,16
TaS2,1,0,0,-1.38,3.34,183.16,6.67,2.47,0.87,2.58,16
TaS3,1,0,0,-1.173,9.76,469.47,5.88,2.52,0.87,2.58,16
TaSe2,1,0,0,-0.932,3.4,140.28,8.02,2.61,1.03,2.55,34
TaSe3,1,0,0,-0.743,10.11,364.19,7.62,2.66,1.03,2.55,34
TaTe2,1,0,0,-0.641,15.4,1509.74,8.63,2.94,1.23,2.1,52
TiO,-1,0,0,-2.8,4.99,61.94,5.14,2.1,0.48,3.44,8
TiO2,-1,0,2.06,-3.322,3.78,137.57,3.86,1.94,0.48,3.44,8
TiS,1,0,0,-1.719,3.27,29.74,4.46,2.48,0.87,2.58,16
TiS2,1,0,0,-1.607,3.43,183.47,3.04,2.42,0.87,2.58,16
TiS3,1,0,0.28,-1.341,5.03,153.21,3.12,2.49,0.87,2.58,16
TiSe,1,0.298,0,-1.066,4.18,104.48,4.03,2.53,1.03,2.55,34
TiSe2,1,0,0,-1.426,3.56,69.54,4.91,2.56,1.03,2.55,34
TiTe,1,0.336,0,-0.465,3.63,87.22,6.68,2.84,1.23,2.1,52
TiTe2,1,0,0,-0.824,3.82,85.09,5.91,2.77,1.23,2.1,52
VO,-1,0.022,0.97,-2.088,4.37,83.61,5.32,2.19,0.48,3.44,8
VO2,-1,0.075,0.64,-2.444,5.48,260.35,4.23,1.88,0.48,3.44,8
VO3,-1,0.991,0.98,-1.01,11.72,1178.84,2.23,1.86,0.48,3.44,8
VS,1,0.088,0,-1.145,3.21,108.71,5.07,2.33,0.87,2.58,16
VS2,1,1.941,0,0.741,2.3,132.16,1.45,2.3,0.87,2.58,16
VSe,1,0.123,0,-0.683,3.63,86.56,4.98,2.5,1.03,2.55,34
VSe2,1,0,0,-0.833,3.43,64.56,5.37,2.5,1.03,2.55,34
VTe,1,0.15,0,-0.378,4.12,88.75,6.68,2.82,1.23,2.1,52
VTe2,1,0,0,-0.589,3.66,80.49,6.32,2.72,1.23,2.1,52
WO2,-1,0.132,1.34,-1.902,5.7,623.82,9.19,1.97,0.48,3.44,8
WO3,-1,0.006,1.6,-2.181,3.88,231.49,6.65,1.85,0.48,3.44,8
WS,1,0.431,0,-0.231,3.03,64.85,11.06,2.37,0.87,2.58,16
WS2,1,0,1.26,-0.883,3.18,113.96,7.23,2.41,0.87,2.58,16
YO,-1,0.214,0,-3.044,4.01,67.54,5.16,2.32,0.48,3.44,8
YO2,-1,0.281,0.33,-2.977,5.45,208.61,3.85,2.25,0.48,3.44,8
YO3,-1,0.46,0.19,-1.984,6.5,125.18,3.63,2.3,0.48,3.44,8
YS,1,0,0,-2.242,5.52,168.65,4.76,2.76,0.87,2.58,16
YS2,1,1.589,0,-0.396,7.83,479.94,4.24,3.25,0.87,2.58,16
YSe,1,0,0,-2.004,5.76,190.78,5.84,2.88,1.03,2.55,34
YSe2,1,0.034,0.13,-1.799,4.08,309.26,5.3,3.11,1.03,2.55,34
YTe,1,0.027,0,-1.484,6.16,233.82,6.15,3.08,1.23,2.1,52
YTe2,1,0.051,0,-1.427,4.45,176.34,6.48,3.29,1.23,2.1,52
YTe3,1,0,0,-1.239,4.34,490.06,6.32,3.2,1.23,2.1,52
ZrO,-1,0.346,0,-2.544,4.63,98.96,7.2,2.31,0.48,3.44,8
ZrS,1,0.091,0,-1.593,5.25,144.46,5.67,2.62,0.87,2.58,16
ZrS2,1,0,1.04,-1.848,3.69,71.29,3.62,2.57,0.87,2.58,16
ZrS3,1,0,1.11,-1.574,5.18,172.47,3.61,2.62,0.87,2.58,16
ZrSe,1,0.412,0,-1.145,5.25,789.31,5.73,2.68,1.03,2.55,34
ZrSe2,1,0,0.33,-1.581,3.81,80.5,5.14,2.7,1.03,2.55,34
ZrSe3,1,0,0.4,-1.237,5.48,199.41,5.46,2.76,1.03,2.55,34
ZrTe,1,0.273,0,-0.77,3.74,8.58,7.37,2.97,1.23,2.1,52
ZrTe2,1,0,0,-1.068,4.01,97.26,5.91,2.91,1.23,2.1,52
ZrTe3,1,0.003,0,-0.823,5.96,248.52,6.33,2.97,1.23,2.1,52
ZnO,-1,0.147,0.72,-1.5,4.34,81.68,6.62,2.17,0.48,3.44,8
ZnO2,-1,0.167,1.27,-0.931,3.2,125.5,5.16,2.11,0.48,3.44,8
ZnS,1,0,2.02,-0.962,3.81,782.19,4.14,2.33,0.87,2.58,16
ZnS2,1,0.146,1.42,-0.496,5.95,210.16,4.09,2.52,0.87,2.58,16
ZnSe,1,0.004,1.2,-0.948,4,90.89,5.28,2.45,1.03,2.55,34
